1697350255.008672 server started (1390): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1697350255.008682 on Linux 5.15.90.1-microsoft-standard-WSL2 #1 SMP Fri Jan 27 02:56:13 UTC 2023
1697350255.008686 using libevent 2.1.12-stable (poll); ncurses 6.3
1697350255.008714 input_key_build: 0x10e003 (PasteStart) is \033[200~
1697350255.008716 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1697350255.008717 input_key_build: 0x10e099 (F1) is \033OP
1697350255.008719 input_key_build: 0x10e09a (F2) is \033OQ
1697350255.008721 input_key_build: 0x10e09b (F3) is \033OR
1697350255.008722 input_key_build: 0x10e09c (F4) is \033OS
1697350255.008723 input_key_build: 0x10e09d (F5) is \033[15~
1697350255.008724 input_key_build: 0x10e09e (F6) is \033[17~
1697350255.008725 input_key_build: 0x10e09f (F7) is \033[18~
1697350255.008727 input_key_build: 0x10e0a0 (F8) is \033[19~
1697350255.008728 input_key_build: 0x10e0a1 (F9) is \033[20~
1697350255.008729 input_key_build: 0x10e0a2 (F10) is \033[21~
1697350255.008730 input_key_build: 0x10e0a3 (F11) is \033[23~
1697350255.008732 input_key_build: 0x10e0a4 (F12) is \033[24~
1697350255.008733 input_key_build: 0x10e0a5 (IC) is \033[2~
1697350255.008734 input_key_build: 0x10e0a6 (DC) is \033[3~
1697350255.008736 input_key_build: 0x10e0a7 (Home) is \033[1~
1697350255.008737 input_key_build: 0x10e0a8 (End) is \033[4~
1697350255.008738 input_key_build: 0x10e0a9 (NPage) is \033[6~
1697350255.008739 input_key_build: 0x10e0aa (PPage) is \033[5~
1697350255.008741 input_key_build: 0x10e0ab (BTab) is \033[Z
1697350255.008742 input_key_build: 0x10e0ac (Up) is \033[A
1697350255.008743 input_key_build: 0x10e0ad (Down) is \033[B
1697350255.008744 input_key_build: 0x10e0ae (Left) is \033[D
1697350255.008746 input_key_build: 0x10e0af (Right) is \033[C
1697350255.008747 input_key_build: 0x10e0b0 (KP/) is /
1697350255.008748 input_key_build: 0x10e0b1 (KP*) is *
1697350255.008752 input_key_build: 0x10e0b2 (KP-) is -
1697350255.008753 input_key_build: 0x10e0b3 (KP7) is 7
1697350255.008754 input_key_build: 0x10e0b4 (KP8) is 8
1697350255.008755 input_key_build: 0x10e0b5 (KP9) is 9
1697350255.008756 input_key_build: 0x10e0b6 (KP+) is +
1697350255.008758 input_key_build: 0x10e0b7 (KP4) is 4
1697350255.008759 input_key_build: 0x10e0b8 (KP5) is 5
1697350255.008760 input_key_build: 0x10e0b9 (KP6) is 6
1697350255.008762 input_key_build: 0x10e0ba (KP1) is 1
1697350255.008764 input_key_build: 0x10e0bb (KP2) is 2
1697350255.008765 input_key_build: 0x10e0bc (KP3) is 3
1697350255.008766 input_key_build: 0x10e0bd (KPEnter) is \n
1697350255.008767 input_key_build: 0x10e0be (KP0) is 0
1697350255.008769 input_key_build: 0x10e0bf (KP.) is .
1697350255.008770 input_key_build: 0x20000010e099 (C-F1) is \033[1;5P
1697350255.008771 input_key_build: 0x20000010e09a (C-F2) is \033[1;5Q
1697350255.008773 input_key_build: 0x20000010e09b (C-F3) is \033[1;5R
1697350255.008774 input_key_build: 0x20000010e09c (C-F4) is \033[1;5S
1697350255.008776 input_key_build: 0x20000010e09d (C-F5) is \033[15;5~
1697350255.008777 input_key_build: 0x20000010e09e (C-F6) is \033[17;5~
1697350255.008778 input_key_build: 0x20000010e09f (C-F7) is \033[18;5~
1697350255.008780 input_key_build: 0x20000010e0a0 (C-F8) is \033[19;5~
1697350255.008781 input_key_build: 0x20000010e0a1 (C-F9) is \033[20;5~
1697350255.008782 input_key_build: 0x20000010e0a2 (C-F10) is \033[21;5~
1697350255.008784 input_key_build: 0x20000010e0a3 (C-F11) is \033[23;5~
1697350255.008786 input_key_build: 0x20000010e0a4 (C-F12) is \033[24;5~
1697350255.008788 input_key_build: 0x20000010e0a5 (C-IC) is \033[2;5~
1697350255.008789 input_key_build: 0x20000010e0a6 (C-DC) is \033[3;5~
1697350255.008791 input_key_build: 0x20000010e0a7 (C-Home) is \033[1;5H
1697350255.008792 input_key_build: 0x20000010e0a8 (C-End) is \033[1;5F
1697350255.008793 input_key_build: 0x20000010e0a9 (C-NPage) is \033[6;5~
1697350255.008795 input_key_build: 0x20000010e0aa (C-PPage) is \033[5;5~
1697350255.008796 input_key_build: 0x20000010e0ac (C-Up) is \033[1;5A
1697350255.008797 input_key_build: 0x20000010e0ad (C-Down) is \033[1;5B
1697350255.008800 input_key_build: 0x20000010e0ae (C-Left) is \033[1;5D
1697350255.008802 input_key_build: 0x20000010e0af (C-Right) is \033[1;5C
1697350255.008803 input_key_build: 0x40000010e099 (S-F1) is \033[1;2P
1697350255.008804 input_key_build: 0x40000010e09a (S-F2) is \033[1;2Q
1697350255.008814 input_key_build: 0x40000010e09b (S-F3) is \033[1;2R
1697350255.008816 input_key_build: 0x40000010e09c (S-F4) is \033[1;2S
1697350255.008817 input_key_build: 0x40000010e09d (S-F5) is \033[15;2~
1697350255.008819 input_key_build: 0x40000010e09e (S-F6) is \033[17;2~
